source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample class]	factor value[gefitinib exposure]	factor value[TMT set]	factor value[HiRIEF pH range]
liver sample 2	Homo sapiens	liver	not applicable	2	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr42_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	42	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3-10
kidney sample 1	Homo sapiens	kidney	not applicable	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr42_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	42	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3-10
kidney sample 2	Homo sapiens	kidney	not applicable	2	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr42_129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	42	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3-10
tonsil sample 1	Homo sapiens	tonsil	not applicable	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr42_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	42	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3-10
tonsil sample 2	Homo sapiens	tonsil	not applicable	2	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr42_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	42	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3-10
pooled normal-tissue internal standard	Homo sapiens	placenta, liver, kidney, tonsil, and testis pooled standard	not applicable	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr42_131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=131	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	42	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_3-10_65min_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	internal pooled standard	not applicable	normal tissues set 1	3-10
untreated A431 replicate 1	Homo sapiens	epithelial cell	A431	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	52	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	untreated; 0 h	A431	3-10
untreated A431 replicate 2	Homo sapiens	epithelial cell	A431	2	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	52	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	untreated; 0 h	A431	3-10
untreated A431 replicate 3	Homo sapiens	epithelial cell	A431	3	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	52	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	untreated; 0 h	A431	3-10
gefitinib-treated A431 2 h replicate 1	Homo sapiens	epithelial cell	A431	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	52	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	gefitinib; 2 h	A431	3-10
gefitinib-treated A431 2 h replicate 2	Homo sapiens	epithelial cell	A431	2	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	52	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	gefitinib; 2 h	A431	3-10
gefitinib-treated A431 6 h replicate 1	Homo sapiens	epithelial cell	A431	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	52	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	gefitinib; 6 h	A431	3-10
gefitinib-treated A431 6 h replicate 2	Homo sapiens	epithelial cell	A431	2	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52_129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	52	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	gefitinib; 6 h	A431	3-10
gefitinib-treated A431 24 h replicate 1	Homo sapiens	epithelial cell	A431	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	52	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	gefitinib; 24 h	A431	3-10
gefitinib-treated A431 24 h replicate 2	Homo sapiens	epithelial cell	A431	2	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	52	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	gefitinib; 24 h	A431	3-10
gefitinib-treated A431 24 h replicate 3	Homo sapiens	epithelial cell	A431	3	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52_131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=131	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	52	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG3-10_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	gefitinib; 24 h	A431	3-10
placenta sample 1	Homo sapiens	placenta	not applicable	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	44	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3.7-4.9
placenta sample 2	Homo sapiens	placenta	not applicable	2	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	44	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3.7-4.9
placenta sample 3	Homo sapiens	placenta	not applicable	3	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	44	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3.7-4.9
liver sample 1	Homo sapiens	liver	not applicable	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	44	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3.7-4.9
liver sample 2	Homo sapiens	liver	not applicable	2	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	44	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3.7-4.9
kidney sample 1	Homo sapiens	kidney	not applicable	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	44	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3.7-4.9
kidney sample 2	Homo sapiens	kidney	not applicable	2	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44_129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	44	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3.7-4.9
tonsil sample 1	Homo sapiens	tonsil	not applicable	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	44	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3.7-4.9
tonsil sample 2	Homo sapiens	tonsil	not applicable	2	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	44	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 1	3.7-4.9
pooled normal-tissue internal standard	Homo sapiens	placenta, liver, kidney, tonsil, and testis pooled standard	not applicable	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44_131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=131	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	44	1	HJ_UU-tissue_TMT10_set1_500ug_IEF_37-49_65min_fr44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	internal pooled standard	not applicable	normal tissues set 1	3.7-4.9
untreated A431 replicate 1	Homo sapiens	epithelial cell	A431	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	38	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	untreated; 0 h	A431	3.7-4.9
untreated A431 replicate 2	Homo sapiens	epithelial cell	A431	2	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38_127N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	38	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	untreated; 0 h	A431	3.7-4.9
untreated A431 replicate 3	Homo sapiens	epithelial cell	A431	3	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38_127C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=127C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	38	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	untreated; 0 h	A431	3.7-4.9
gefitinib-treated A431 2 h replicate 1	Homo sapiens	epithelial cell	A431	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38_128N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	38	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	gefitinib; 2 h	A431	3.7-4.9
gefitinib-treated A431 2 h replicate 2	Homo sapiens	epithelial cell	A431	2	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38_128C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=128C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	38	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	gefitinib; 2 h	A431	3.7-4.9
gefitinib-treated A431 6 h replicate 1	Homo sapiens	epithelial cell	A431	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38_129N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	38	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	gefitinib; 6 h	A431	3.7-4.9
gefitinib-treated A431 6 h replicate 2	Homo sapiens	epithelial cell	A431	2	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38_129C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=129C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	38	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	gefitinib; 6 h	A431	3.7-4.9
gefitinib-treated A431 24 h replicate 1	Homo sapiens	epithelial cell	A431	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38_130N	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130N	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	38	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	gefitinib; 24 h	A431	3.7-4.9
gefitinib-treated A431 24 h replicate 2	Homo sapiens	epithelial cell	A431	2	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38_130C	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=130C	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	38	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	gefitinib; 24 h	A431	3.7-4.9
gefitinib-treated A431 24 h replicate 3	Homo sapiens	epithelial cell	A431	3	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38_131	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=131	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	38	1	Rui_HiRIEFII_A431-Gef_TMT-ctrliii-2hii-6hii-24hiii_400ugIPG37-49_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	A431 cell line	gefitinib; 24 h	A431	3.7-4.9
tonsil sample 1	Homo sapiens	tonsil	not applicable	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_3-10_65min_fr57_126	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010;CN=126	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	57	1	HJ_UU-tissue_TMT10_set2_500ug_IEF_3-10_65min_fr57.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	histologically normal tissue	not applicable	normal tissues set 2	3-10
