source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[treatment]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[treatment]
PXD013227-190117_Replicate2_52C	Homo sapiens	cell culture	28		not available	not available	190117_Replicate2_52C	proteomic profiling by mass spectrometry	1	190117_Replicate2_52C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190110_Replicate1_52C_20	Homo sapiens	cell culture	29	control	not available	not available	190110_Replicate1_52C_20	proteomic profiling by mass spectrometry	1	190110_Replicate1_52C_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	control
PXD013227-190110_Replicate2_42C_20	Homo sapiens	cell culture	30	control	not available	not available	190110_Replicate2_42C_20	proteomic profiling by mass spectrometry	1	190110_Replicate2_42C_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	control
PXD013227-180703_Replicate1_67C	Homo sapiens	cell culture	31		not available	not available	180703_Replicate1_67C	proteomic profiling by mass spectrometry	1	180703_Replicate1_67C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190110_Replicate1_62C_20	Homo sapiens	cell culture	32	control	not available	not available	190110_Replicate1_62C_20	proteomic profiling by mass spectrometry	1	190110_Replicate1_62C_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	control
PXD013227-190117_Replicate2_47C	Homo sapiens	cell culture	33		not available	not available	190117_Replicate2_47C	proteomic profiling by mass spectrometry	1	190117_Replicate2_47C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190110_Replicate1_57T_20	Homo sapiens	cell culture	34	treated	not available	not available	190110_Replicate1_57T_20	proteomic profiling by mass spectrometry	1	190110_Replicate1_57T_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	treated
PXD013227-190110_Replicate2_52C_20	Homo sapiens	cell culture	35	control	not available	not available	190110_Replicate2_52C_20	proteomic profiling by mass spectrometry	1	190110_Replicate2_52C_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	control
PXD013227-180703_Replicate1_42T	Homo sapiens	cell culture	36		not available	not available	180703_Replicate1_42T	proteomic profiling by mass spectrometry	1	180703_Replicate1_42T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190110_Replicate1_47T_20	Homo sapiens	cell culture	37	treated	not available	not available	190110_Replicate1_47T_20	proteomic profiling by mass spectrometry	1	190110_Replicate1_47T_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	treated
PXD013227-190110_Replicate2_62C_20	Homo sapiens	cell culture	38	control	not available	not available	190110_Replicate2_62C_20	proteomic profiling by mass spectrometry	1	190110_Replicate2_62C_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	control
PXD013227-190110_Replicate2_47C_20	Homo sapiens	cell culture	39	control	not available	not available	190110_Replicate2_47C_20	proteomic profiling by mass spectrometry	1	190110_Replicate2_47C_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	control
PXD013227-190110_Replicate2_67T_20	Homo sapiens	cell culture	40	treated	not available	not available	190110_Replicate2_67T_20	proteomic profiling by mass spectrometry	1	190110_Replicate2_67T_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	treated
PXD013227-180703_Replicate1_37C	Homo sapiens	cell culture	41		not available	not available	180703_Replicate1_37C	proteomic profiling by mass spectrometry	1	180703_Replicate1_37C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190117_Replicate2_67C	Homo sapiens	cell culture	42		not available	not available	190117_Replicate2_67C	proteomic profiling by mass spectrometry	1	190117_Replicate2_67C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190110_Replicate1_67T_20	Homo sapiens	cell culture	43	treated	not available	not available	190110_Replicate1_67T_20	proteomic profiling by mass spectrometry	1	190110_Replicate1_67T_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	treated
PXD013227-190117_Replicate2_52T	Homo sapiens	cell culture	44		not available	not available	190117_Replicate2_52T	proteomic profiling by mass spectrometry	1	190117_Replicate2_52T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190110_Replicate2_67C_20	Homo sapiens	cell culture	45	control	not available	not available	190110_Replicate2_67C_20	proteomic profiling by mass spectrometry	1	190110_Replicate2_67C_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	control
PXD013227-190117_Replicate2_37C	Homo sapiens	cell culture	46		not available	not available	190117_Replicate2_37C	proteomic profiling by mass spectrometry	1	190117_Replicate2_37C.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190117_Replicate2_57T	Homo sapiens	cell culture	47		not available	not available	190117_Replicate2_57T	proteomic profiling by mass spectrometry	1	190117_Replicate2_57T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	
PXD013227-190110_Replicate2_47T_20	Homo sapiens	cell culture	48	treated	not available	not available	190110_Replicate2_47T_20	proteomic profiling by mass spectrometry	1	190110_Replicate2_47T_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	treated
PXD013227-190110_Replicate1_62T_20	Homo sapiens	cell culture	49	treated	not available	not available	190110_Replicate1_62T_20	proteomic profiling by mass spectrometry	1	190110_Replicate1_62T_20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ XL ETD;AC=MS:1000638	not available	label free sample	1	treated
