source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[iTRAQ pool]	factor value[HiRIEF pH range]
ascending aorta tissue iTRAQ 2013apr23_pool2_pool2	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	2	Sanela_2013apr23_pool2_100ug_IPG400-425_fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	12	1	Sanela_2013apr23_pool2_100ug_IPG400-425_fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool2_pool2	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool2_pool2	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	2	Sanela_2013apr23_pool2_100ug_IPG400-425_fr16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	16	1	Sanela_2013apr23_pool2_100ug_IPG400-425_fr16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool2_pool2	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool2_pool2	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	2	Sanela_2013apr23_pool2_100ug_IPG400-425_fr20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20	1	Sanela_2013apr23_pool2_100ug_IPG400-425_fr20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool2_pool2	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool2_pool2	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	2	Sanela_2013apr23_pool2_100ug_IPG400-425_fr23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	23	1	Sanela_2013apr23_pool2_100ug_IPG400-425_fr23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool2_pool2	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool2_pool2	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	2	Sanela_2013apr23_pool2_100ug_IPG400-425_fr31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	31	1	Sanela_2013apr23_pool2_100ug_IPG400-425_fr31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool2_pool2	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool2_pool2	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	2	Sanela_2013apr23_pool2_100ug_IPG400-425_fr32	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	32	1	Sanela_2013apr23_pool2_100ug_IPG400-425_fr32.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool2_pool2	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool2_pool2	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	2	Sanela_2013apr23_pool2_100ug_IPG400-425_fr37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	37	1	Sanela_2013apr23_pool2_100ug_IPG400-425_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool2_pool2	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool2_pool2	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	2	Sanela_2013apr23_pool2_100ug_IPG400-425_fr38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	38	1	Sanela_2013apr23_pool2_100ug_IPG400-425_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool2_pool2	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool2_pool2	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	2	Sanela_2013apr23_pool2_100ug_IPG400-425_fr42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	42	1	Sanela_2013apr23_pool2_100ug_IPG400-425_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool2_pool2	IPG400-425
ascending aorta tissue iTRAQ 2013apr23_pool2_pool2	Homo sapiens	aorta	aortic endothelial cell	aortic aneurysm	2	Sanela_2013apr23_pool2_100ug_IPG400-425_fr43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	43	1	Sanela_2013apr23_pool2_100ug_IPG400-425_fr43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	2013apr23_pool2_pool2	IPG400-425
