source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[disease]
dCCA Sample 12	Homo sapiens	bile duct	23	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample12_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample12_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 12	Homo sapiens	bile duct	23	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample12_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample12_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 13	Homo sapiens	bile duct	24	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample13_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample13_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 13	Homo sapiens	bile duct	24	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample13_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample13_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 14	Homo sapiens	bile duct	25	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample14_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample14_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 14	Homo sapiens	bile duct	25	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample14_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample14_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 14	Homo sapiens	bile duct	25	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample14_PRM_R1	proteomic profiling by mass spectrometry	3	dCCA_Sample14_PRM_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 14	Homo sapiens	bile duct	25	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample14_PRM_R2	proteomic profiling by mass spectrometry	4	dCCA_Sample14_PRM_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 14	Homo sapiens	bile duct	25	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample14_PRM_R3	proteomic profiling by mass spectrometry	5	dCCA_Sample14_PRM_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 15	Homo sapiens	bile duct	26	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample15_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample15_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 15	Homo sapiens	bile duct	26	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample15_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample15_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 15	Homo sapiens	bile duct	26	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample15_PRM_R1	proteomic profiling by mass spectrometry	3	dCCA_Sample15_PRM_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 15	Homo sapiens	bile duct	26	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample15_PRM_R2	proteomic profiling by mass spectrometry	4	dCCA_Sample15_PRM_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 16	Homo sapiens	bile duct	27	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample16_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample16_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 16	Homo sapiens	bile duct	27	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample16_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample16_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 16	Homo sapiens	bile duct	27	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample16_PRM_R1	proteomic profiling by mass spectrometry	3	dCCA_Sample16_PRM_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 16	Homo sapiens	bile duct	27	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample16_PRM_R2	proteomic profiling by mass spectrometry	4	dCCA_Sample16_PRM_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 16	Homo sapiens	bile duct	27	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample16_PRM_R3	proteomic profiling by mass spectrometry	5	dCCA_Sample16_PRM_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 17	Homo sapiens	bile duct	28	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample17_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample17_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 17	Homo sapiens	bile duct	28	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample17_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample17_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 17	Homo sapiens	bile duct	28	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample17_PRM_R1	proteomic profiling by mass spectrometry	3	dCCA_Sample17_PRM_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 17	Homo sapiens	bile duct	28	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample17_PRM_R2	proteomic profiling by mass spectrometry	4	dCCA_Sample17_PRM_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 18	Homo sapiens	bile duct	29	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample18_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample18_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 18	Homo sapiens	bile duct	29	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample18_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample18_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 18	Homo sapiens	bile duct	29	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample18_PRM_R1	proteomic profiling by mass spectrometry	3	dCCA_Sample18_PRM_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 18	Homo sapiens	bile duct	29	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample18_PRM_R2	proteomic profiling by mass spectrometry	4	dCCA_Sample18_PRM_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 19	Homo sapiens	bile duct	30	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample19_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample19_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 19	Homo sapiens	bile duct	30	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample19_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample19_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 19	Homo sapiens	bile duct	30	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample19_PRM_R2	proteomic profiling by mass spectrometry	3	dCCA_Sample19_PRM_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 2	Homo sapiens	bile duct	13	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample2_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample2_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 2	Homo sapiens	bile duct	13	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample2_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample2_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 2	Homo sapiens	bile duct	13	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample02_PRM_R1	proteomic profiling by mass spectrometry	3	dCCA_Sample02_PRM_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 2	Homo sapiens	bile duct	13	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample02_PRM_R2	proteomic profiling by mass spectrometry	4	dCCA_Sample02_PRM_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 2	Homo sapiens	bile duct	13	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample02_PRM_R3	proteomic profiling by mass spectrometry	5	dCCA_Sample02_PRM_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 20	Homo sapiens	bile duct	31	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample20_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample20_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
