source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[cell fraction]
A549 cytosolic fraction submitted sample 17	Homo sapiens	cell culture	A549	17	Sample17_Cytosol__160421_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	2	Sample17_Cytosol__160421_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 microsomal fraction submitted sample 18	Homo sapiens	cell culture	A549	18	Sample18_Microsomal_160421_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	3	Sample18_Microsomal_160421_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 19	Homo sapiens	cell culture	A549	19	Sample19_Microsomal_160421_02_160427033748	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160427033748.raw	1	Sample19_Microsomal_160421_02_160427033748.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 cytosolic fraction submitted sample 23	Homo sapiens	cell culture	A549	23	Sample23_Cytosol__160421_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	3	Sample23_Cytosol__160421_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 microsomal fraction submitted sample 16	Homo sapiens	cell culture	A549	16	Elena_A549_Microsom_16_1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	16	2	Elena_A549_Microsom_16_1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 23	Homo sapiens	cell culture	A549	23	Sample23_Microsomal_160421_02_160428092950	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160428092950.raw	1	Sample23_Microsomal_160421_02_160428092950.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 cytosolic fraction submitted sample 24	Homo sapiens	cell culture	A549	24	Sample24_Cytosol__160421_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	2	Sample24_Cytosol__160421_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 microsomal fraction submitted sample 23	Homo sapiens	cell culture	A549	23	Sample23_Microsomal_160421_03_160428110745	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160428110745.raw	1	Sample23_Microsomal_160421_03_160428110745.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 19	Homo sapiens	cell culture	A549	19	Sample19_Microsomal_160421_04_160427123433	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160427123433.raw	1	Sample19_Microsomal_160421_04_160427123433.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 24	Homo sapiens	cell culture	A549	24	Sample24_Microsomal_160421_01_160428140704	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160428140704.raw	1	Sample24_Microsomal_160421_01_160428140704.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 19	Homo sapiens	cell culture	A549	19	Sample19_Microsomal_160421_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	1	Sample19_Microsomal_160421_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 18	Homo sapiens	cell culture	A549	18	Sample18_Microsomal_160421_03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	4	Sample18_Microsomal_160421_03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 20	Homo sapiens	cell culture	A549	20	Sample20_Microsomal_160421_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	1	Sample20_Microsomal_160421_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 cytosolic fraction submitted sample 21	Homo sapiens	cell culture	A549	21	Sample21_Cytosol__160421_04_160423224116	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160423224116.raw	1	Sample21_Cytosol__160421_04_160423224116.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 cytosolic fraction submitted sample 24	Homo sapiens	cell culture	A549	24	Sample24_Cytosol__160421_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	3	Sample24_Cytosol__160421_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 cytosolic fraction submitted sample 23	Homo sapiens	cell culture	A549	23	Sample23_Cytosol__160421_01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	4	Sample23_Cytosol__160421_01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 microsomal fraction submitted sample 21	Homo sapiens	cell culture	A549	21	Sample21_Microsomal_160421_03_160427231032	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160427231032.raw	1	Sample21_Microsomal_160421_03_160427231032.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 21	Homo sapiens	cell culture	A549	21	Sample21_Microsomal_160421_04_160428003157	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160428003157.raw	1	Sample21_Microsomal_160421_04_160428003157.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 19	Homo sapiens	cell culture	A549	19	Sample19_Microsomal_160421_01_160427021624	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160427021624.raw	1	Sample19_Microsomal_160421_01_160427021624.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 cytosolic fraction submitted sample 16	Homo sapiens	cell culture	A549	16	Sample16_Cytosol__160421_04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	4	Sample16_Cytosol__160421_04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 microsomal fraction submitted sample 20	Homo sapiens	cell culture	A549	20	Sample20_Microsomal_160421_03_160427171145	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160427171145.raw	1	Sample20_Microsomal_160421_03_160427171145.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 16	Homo sapiens	cell culture	A549	16	Elena_A549_Microsom_16_4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	16	3	Elena_A549_Microsom_16_4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 22	Homo sapiens	cell culture	A549	22	Sample22_Microsomal_160421_03_160428050907	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160428050907.raw	1	Sample22_Microsomal_160421_03_160428050907.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 16	Homo sapiens	cell culture	A549	16	Elena_A549_Microsom_16_3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	16	4	Elena_A549_Microsom_16_3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 microsomal fraction submitted sample 21	Homo sapiens	cell culture	A549	21	Sample21_Microsomal_160421_02_160427213233	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160427213233.raw	1	Sample21_Microsomal_160421_02_160427213233.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	microsomal fraction
A549 cytosolic fraction submitted sample 20	Homo sapiens	cell culture	A549	20	Sample20_Cytosol__160421_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	1	Sample20_Cytosol__160421_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
A549 cytosolic fraction submitted sample 17	Homo sapiens	cell culture	A549	17	Sample17_Cytosol__160421_02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=dimethyl labeled sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	160421	3	Sample17_Cytosol__160421_02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cytosolic fraction
