source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[iTRAQ plex]
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	35	1	HJ_HE_Andrii_121019_EXP1_Fr35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	37	1	HJ_HE_Andrii_121019_EXP1_Fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	39	1	HJ_HE_Andrii_121019_EXP1_Fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	41	1	HJ_HE_Andrii_121019_EXP1_Fr41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	42	1	HJ_HE_Andrii_121019_EXP1_Fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	43	1	HJ_HE_Andrii_121019_EXP1_Fr43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr45	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	45	1	HJ_HE_Andrii_121019_EXP1_Fr45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr46	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	46	1	HJ_HE_Andrii_121019_EXP1_Fr46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr47	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	47	1	HJ_HE_Andrii_121019_EXP1_Fr47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	50	1	HJ_HE_Andrii_121019_EXP1_Fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr51	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	51	1	HJ_HE_Andrii_121019_EXP1_Fr51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr53	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	53	1	HJ_HE_Andrii_121019_EXP1_Fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr54	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	54	1	HJ_HE_Andrii_121019_EXP1_Fr54.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr58	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	58	1	HJ_HE_Andrii_121019_EXP1_Fr58.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
thyroid cyst fluid iTRAQ plex 1	Homo sapiens	thyroid nodule	epithelial cell of thyroid gland	papillary thyroid carcinoma	1	HJ_HE_Andrii_121019_EXP1_Fr59	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Phospho;AC=UNIMOD:21;TA=STY;MT=Variable	59	1	HJ_HE_Andrii_121019_EXP1_Fr59.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	EXP1
