source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[iTRAQ plex]
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	39	1	100524_sarcoidosis_MAP_exp1_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	40	1	100524_sarcoidosis_MAP_exp1_fr40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	41	1	100524_sarcoidosis_MAP_exp1_fr41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	42	1	100524_sarcoidosis_MAP_exp1_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	43	1	100524_sarcoidosis_MAP_exp1_fr43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr44	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	44	1	100524_sarcoidosis_MAP_exp1_fr44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr45	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	45	1	100524_sarcoidosis_MAP_exp1_fr45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr46	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	46	1	100524_sarcoidosis_MAP_exp1_fr46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr47	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	47	1	100524_sarcoidosis_MAP_exp1_fr47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr48	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	48	1	100524_sarcoidosis_MAP_exp1_fr48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr49	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	49	1	100524_sarcoidosis_MAP_exp1_fr49.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr50	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	50	1	100524_sarcoidosis_MAP_exp1_fr50.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr51	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	51	1	100524_sarcoidosis_MAP_exp1_fr51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr52	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	52	1	100524_sarcoidosis_MAP_exp1_fr52.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr53	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	53	1	100524_sarcoidosis_MAP_exp1_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 1	Homo sapiens	lung	macrophage	sarcoidosis	1	100524_sarcoidosis_MAP_exp1_fr54	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	54	1	100524_sarcoidosis_MAP_exp1_fr54.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp1
alveolar macrophage iTRAQ plex 2	Homo sapiens	lung	macrophage	sarcoidosis	2	100524_sarcoidosis_MAP_exp2_fr19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	19	1	100524_sarcoidosis_MAP_exp2_fr19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp2
alveolar macrophage iTRAQ plex 2	Homo sapiens	lung	macrophage	sarcoidosis	2	100524_sarcoidosis_MAP_exp2_fr20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	20	1	100524_sarcoidosis_MAP_exp2_fr20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp2
alveolar macrophage iTRAQ plex 2	Homo sapiens	lung	macrophage	sarcoidosis	2	100524_sarcoidosis_MAP_exp2_fr21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	21	1	100524_sarcoidosis_MAP_exp2_fr21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp2
alveolar macrophage iTRAQ plex 2	Homo sapiens	lung	macrophage	sarcoidosis	2	100524_sarcoidosis_MAP_exp2_fr22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=iTRAQ 8-plex;AC=MS:1002012	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	22	1	100524_sarcoidosis_MAP_exp2_fr22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	exp2
