source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[developmental stage]	characteristics[strain or breed]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]
PXD007958-2013-03-04_MC_22B_2	Populus tremula x populus tremuloides	Xylem	33	not available	not available	not available	2013-03-04_MC_22B_2.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_22B_2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_22A_2	Populus tremula x populus tremuloides	Xylem	34	not available	not available	not available	2013-03-04_MC_22A_2.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_22A_2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_16B_3	Populus tremula x populus tremuloides	Xylem	35	not available	not available	not available	2013-03-04_MC_16B_3.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_16B_3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_11A_2	Populus tremula x populus tremuloides	Xylem	36	not available	not available	not available	2013-03-04_MC_11A_2.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_11A_2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_22B_1	Populus tremula x populus tremuloides	Xylem	37	not available	not available	not available	2013-03-04_MC_22B_1.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_22B_1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_T89E_1	Populus tremula x populus tremuloides	Xylem	38	not available	not available	not available	2013-03-04_MC_T89E_1.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_T89E_1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_04E_1	Populus tremula x populus tremuloides	Xylem	39	not available	not available	not available	2013-03-04_MC_04E_1.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_04E_1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_T89E_2	Populus tremula x populus tremuloides	Xylem	40	not available	not available	not available	2013-03-04_MC_T89E_2.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_T89E_2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_11A_1	Populus tremula x populus tremuloides	Xylem	41	not available	not available	not available	2013-03-04_MC_11A_1.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_11A_1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_T89C_2	Populus tremula x populus tremuloides	Xylem	42	not available	not available	not available	2013-03-04_MC_T89C_2.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_T89C_2.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_11B_1	Populus tremula x populus tremuloides	Xylem	43	not available	not available	not available	2013-03-04_MC_11B_1.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_11B_1.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_16C_3	Populus tremula x populus tremuloides	Xylem	44	not available	not available	not available	2013-03-04_MC_16C_3.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_16C_3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
PXD007958-2013-03-04_MC_04B_3	Populus tremula x populus tremuloides	Xylem	45	not available	not available	not available	2013-03-04_MC_04B_3.raw.tgz	proteomic profiling by mass spectrometry	1	2013-03-04_MC_04B_3.raw.tgz	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=invertebrates;VV=v1.1.0	manual curation	NT=HDMSE;AC=PRIDE:0000452	NT=Synapt G2 HDMS;AC=MS:1001777	NT=Trypsin;AC=MS:1001251	label free sample	1
