source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted experiment series]	factor value[gefitinib treatment]	factor value[HiRIEF pH range]
not available subcellular fractionation	Homo sapiens	cell culture	not available	1	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul_fr07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	7	1	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul_fr07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul	not available	3.7-4.9
not available subcellular fractionation	Homo sapiens	cell culture	not available	1	MVYB_Subcell_20161012_TotalLysate_IPG3-10_7of15ul_fr33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	33	1	MVYB_Subcell_20161012_TotalLysate_IPG3-10_7of15ul_fr33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_20161012_TotalLysate_IPG3-10_7of15ul	not available	3-10
A431 subcellular fractionation	Homo sapiens	cell culture	A431	1	Mattias_Subcell-Barcode_20150502_A431-7-ctrl_TMT_300ugIPG3-10_10of15ul_fr59	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	59	1	Mattias_Subcell-Barcode_20150502_A431-7-ctrl_TMT_300ugIPG3-10_10of15ul_fr59.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_Subcell-Barcode_20150502_A431-7-ctrl_TMT_300ugIPG3-10_10of15ul	untreated control	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul_fr30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	30	2	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul_fr30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul	not available	3.7-4.9
H322 subcellular fractionation	Homo sapiens	cell culture	H322	1	Subcell_MVYB_H322_ctrl_HF1_20160616_TMT_IPG37-49_fr17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	17	1	Subcell_MVYB_H322_ctrl_HF1_20160616_TMT_IPG37-49_fr17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_H322_ctrl_HF1_20160616_TMT_IPG37-49	untreated control	3.7-4.9
A431 subcellular fractionation	Homo sapiens	cell culture	A431	1	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul_fr12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	12	1	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul_fr12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul	not available	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re-1_HF_20161107_TMT_300ugIPG37-49_7of15ul_fr31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	31	1	MVYB_Subcell_HCC827_Re-1_HF_20161107_TMT_300ugIPG37-49_7of15ul_fr31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re-1_HF_20161107_TMT_300ugIPG37-49_7of15ul	not available	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul_fr06	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	6	1	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul_fr06.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul	not available	3.7-4.9
not available subcellular fractionation	Homo sapiens	cell culture	not available	1	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul_fr57	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	57	1	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul_fr57.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul	not available	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul_fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	10	1	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul_fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul	gefitinib	3.7-4.9
MCF7 subcellular fractionation	Homo sapiens	cell culture	MCF7	1	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul_fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	11	1	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul_fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul	not available	3-10
A431 subcellular fractionation	Homo sapiens	cell culture	A431	1	Mattias_Subcell-Barcode_20150502_A431-7-ctrl_TMT_300ugIPG3-10_10of15ul_fr29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	29	1	Mattias_Subcell-Barcode_20150502_A431-7-ctrl_TMT_300ugIPG3-10_10of15ul_fr29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_Subcell-Barcode_20150502_A431-7-ctrl_TMT_300ugIPG3-10_10of15ul	untreated control	3-10
not available subcellular fractionation	Homo sapiens	cell culture	not available	1	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul_fr46	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	46	1	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul_fr46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_20170120_TotalLysate_IPG37-49_QE-70min_7of15ul	not available	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re2-2_HF_20160904_TMT_IPG3-10_7of15ul_fr64	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	64	1	MVYB_Subcell_HCC827_Re2-2_HF_20160904_TMT_IPG3-10_7of15ul_fr64.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re2-2_HF_20160904_TMT_IPG3-10_7of15ul	not available	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul_fr22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	22	2	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul_fr22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul	not available	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul_fr27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	27	2	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul_fr27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul	not available	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul_fr44	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	44	2	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul_fr44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re4-2_HF_20160904_TMT_IPG3-10_7of15ul	not available	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul_fr07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	7	1	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul_fr07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_gef_HF2_20160622_TMT_IPG37-49_7of15ul	gefitinib	3.7-4.9
A431 subcellular fractionation	Homo sapiens	cell culture	A431	1	Mattias_Subcell-Barcode_20150502_A431-7-ctrl_TMT_300ugIPG3-10_10of15ul_fr46	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	46	1	Mattias_Subcell-Barcode_20150502_A431-7-ctrl_TMT_300ugIPG3-10_10of15ul_fr46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_Subcell-Barcode_20150502_A431-7-ctrl_TMT_300ugIPG3-10_10of15ul	untreated control	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul_fr55	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	55	2	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul_fr55.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re-2_HF_20161110_TMT_300ugIPG37-49_7of15ul	not available	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul_fr17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	17	1	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul_fr17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul	untreated control	3-10
MCF7 subcellular fractionation	Homo sapiens	cell culture	MCF7	1	Mattias_HF1_20160122_SUBCELL_MCF7_TMT_300ug_IPG37-49_fr63	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	63	1	Mattias_HF1_20160122_SUBCELL_MCF7_TMT_300ug_IPG37-49_fr63.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_HF1_20160122_SUBCELL_MCF7_TMT_300ug_IPG37-49	not available	3.7-4.9
MCF7 subcellular fractionation	Homo sapiens	cell culture	MCF7	1	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul_fr37_160129155247	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	5	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul_fr37_160129155247.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul	not available	3-10
MCF7 subcellular fractionation	Homo sapiens	cell culture	MCF7	1	Mattias_HF1_20160122_SUBCELL_MCF7_TMT_300ug_IPG37-49_fr53	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	53	1	Mattias_HF1_20160122_SUBCELL_MCF7_TMT_300ug_IPG37-49_fr53.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_HF1_20160122_SUBCELL_MCF7_TMT_300ug_IPG37-49	not available	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul_fr39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	39	1	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul	untreated control	3-10
MCF7 subcellular fractionation	Homo sapiens	cell culture	MCF7	1	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul_fr33	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	33	1	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul_fr33.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul	not available	3-10
A431 subcellular fractionation	Homo sapiens	cell culture	A431	1	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul_fr13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	13	1	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul_fr13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul	not available	3.7-4.9
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul_fr69	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	69	1	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul_fr69.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Subcell_MVYB_HCC827Ctrl_QE1_20160525_TMT10_IPG3-10_7of15ul	untreated control	3-10
HCC827 subcellular fractionation	Homo sapiens	cell culture	HCC827	1	MVYB_Subcell_HCC827_Re-4_HF_20161114_TMT_300ugIPG37-49_7of15ul_fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	11	2	MVYB_Subcell_HCC827_Re-4_HF_20161114_TMT_300ugIPG37-49_7of15ul_fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	MVYB_Subcell_HCC827_Re-4_HF_20161114_TMT_300ugIPG37-49_7of15ul	not available	3.7-4.9
A431 subcellular fractionation	Homo sapiens	cell culture	A431	1	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul_fr05	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	5	1	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul_fr05.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_A431_Subcell-barcode_20140902_TMT10_400ugIPG37-49_7of15ul	not available	3.7-4.9
MCF7 subcellular fractionation	Homo sapiens	cell culture	MCF7	1	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul_fr38_160129171124	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=TMT 10-plex;AC=MS:1002010	NT=Trypsin;AC=MS:1001251	NT=Trypsin;AC=MS:1001251	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	6	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul_fr38_160129171124.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Mattias_Subcell-Barcode_20160121_MCF7_TMT_300ugIPG3-10_10of15ul	not available	3-10
