source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample material]	factor value[treatment]	factor value[tissue type]
Caco2_S3	Homo sapiens	cell culture	Caco-2	20	200529_CW_IBDCaco2_S3_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S3_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	Untreated	not applicable
C12b	Mus musculus	Proximal Colon	not applicable	21	Christine_IBDmouse_191115_L_AA18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
C10a	Mus musculus	Distal Colon	not applicable	22	Christine_IBDmouse_191115_T_AA11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
NP1Bs	Mus musculus	Ileum	not applicable	23	Christine_IBDmouse_191115_L_AA31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
NP1Rb	Mus musculus	Proximal Colon	not applicable	24	Christine_IBDmouse_191115_T_AA27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Proximal Colon
NP3Gs	Mus musculus	Ileum	not applicable	19	Christine_IBDmouse_191115_T_AA46	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA46.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
C9a	Mus musculus	Distal Colon	not applicable	25	Christine_IBDmouse_191115_T_AA8	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA8.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
C11s	Mus musculus	Ileum	not applicable	4	Christine_IBDmouse_191115_T_AA13	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA13.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Ileum
NP3Rb	Mus musculus	Proximal Colon	not applicable	26	Christine_IBDmouse_191115_T_AA45	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA45.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Proximal Colon
C10b	Mus musculus	Proximal Colon	not applicable	27	Christine_IBDmouse_191115_T_AA12	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA12.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
Caco2_S3	Homo sapiens	cell culture	Caco-2	20	200529_CW_IBDCaco2_S3_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S3_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	Untreated	not applicable
