source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample material]	factor value[treatment]	factor value[tissue type]
C10s	Mus musculus	Ileum	not applicable	35	Christine_IBDmouse_191115_L_AA10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Ileum
Caco2_S9	Homo sapiens	cell culture	Caco-2	58	200529_CW_IBDCaco2_S9_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S9_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	DSS	not applicable
NP2Rb	Mus musculus	Proximal Colon	not applicable	18	Christine_IBDmouse_191115_T_AA36	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA36.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Proximal Colon
NP2Gs	Mus musculus	Ileum	not applicable	59	Christine_IBDmouse_191115_L_AA37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
Caco2_S10	Homo sapiens	cell culture	Caco-2	60	200529_CW_IBDCaco2_S10_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S10_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	DSS	not applicable
NP2Ba	Mus musculus	Distal Colon	not applicable	46	Christine_IBDmouse_191115_L_AA41	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA41.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
C12b	Mus musculus	Proximal Colon	not applicable	21	Christine_IBDmouse_191115_T_AA18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
Caco2_S9	Homo sapiens	cell culture	Caco-2	58	200529_CW_IBDCaco2_S9_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S9_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	DSS	not applicable
NP2Ra	Mus musculus	Distal Colon	not applicable	61	Christine_IBDmouse_191115_L_AA35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
Caco2_S1	Homo sapiens	cell culture	Caco-2	62	200529_CW_IBDCaco2_S1_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S1_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	Untreated	not applicable
Caco2_S1	Homo sapiens	cell culture	Caco-2	62	200529_CW_IBDCaco2_S1_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S1_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	Untreated	not applicable
NP1Gs	Mus musculus	Ileum	not applicable	63	Christine_IBDmouse_191115_T_AA28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
C14s	Mus musculus	Ileum	not applicable	1	Christine_IBDmouse_191115_L_AA22	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA22.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Ileum
C9b	Mus musculus	Proximal Colon	not applicable	64	Christine_IBDmouse_191115_L_AA9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
NP2Gb	Mus musculus	Proximal Colon	not applicable	53	Christine_IBDmouse_191115_L_AA39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Proximal Colon
C13b	Mus musculus	Proximal Colon	not applicable	57	Christine_IBDmouse_191115_L_AA21	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA21.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
NP3Gb	Mus musculus	Proximal Colon	not applicable	65	Christine_IBDmouse_191115_L_AA48	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Proximal Colon
C13a	Mus musculus	Distal Colon	not applicable	48	Christine_IBDmouse_191115_L_AA20	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA20.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
NP2Bs	Mus musculus	Ileum	not applicable	32	Christine_IBDmouse_191115_T_AA40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
C13s	Mus musculus	Ileum	not applicable	38	Christine_IBDmouse_191115_L_AA19	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA19.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Ileum
NP1Gs	Mus musculus	Ileum	not applicable	63	Christine_IBDmouse_191115_L_AA28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
Caco2_S10	Homo sapiens	cell culture	Caco-2	60	200529_CW_IBDCaco2_S10_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S10_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	DSS	not applicable
Caco2_S12	Homo sapiens	cell culture	Caco-2	66	200529_CW_IBDCaco2_S12_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S12_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	DSS	not applicable
Caco2_S14	Homo sapiens	cell culture	Caco-2	29	200529_CW_IBDCaco2_S14_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S14_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	TNFa-mix	not applicable
NP1Ra	Mus musculus	Distal Colon	not applicable	36	Christine_IBDmouse_191115_L_AA26	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA26.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
Caco2_S17	Homo sapiens	cell culture	Caco-2	41	200529_CW_IBDCaco2_S17_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S17_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	TNFa-mix	not applicable
Caco2_S7	Homo sapiens	cell culture	Caco-2	56	200529_CW_IBDCaco2_S7_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S7_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	DSS	not applicable
Caco2_S8	Homo sapiens	cell culture	Caco-2	33	200529_CW_IBDCaco2_S8_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S8_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	DSS	not applicable
Caco2_S15	Homo sapiens	cell culture	Caco-2	47	200529_CW_IBDCaco2_S15_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S15_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	TNFa-mix	not applicable
NP1Bs	Mus musculus	Ileum	not applicable	23	Christine_IBDmouse_191115_T_AA31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
Caco2_S16	Homo sapiens	cell culture	Caco-2	37	200529_CW_IBDCaco2_S16_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S16_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	TNFa-mix	not applicable
NP3Ga	Mus musculus	Distal Colon	not applicable	55	Christine_IBDmouse_191115_L_AA47	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA47.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
NP1Rs	Mus musculus	Ileum	not applicable	34	Christine_IBDmouse_191115_L_AA25	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA25.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
Caco2_S13	Homo sapiens	cell culture	Caco-2	31	200529_CW_IBDCaco2_S13_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S13_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	TNFa-mix	not applicable
C8b	Mus musculus	Proximal Colon	not applicable	12	Christine_IBDmouse_191115_L_AA6	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
C9b	Mus musculus	Proximal Colon	not applicable	64	Christine_IBDmouse_191115_T_AA9	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA9.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
C7s	Mus musculus	Ileum	not applicable	11	Christine_IBDmouse_191115_T_AA1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Ileum
Caco2_S12	Homo sapiens	cell culture	Caco-2	66	200529_CW_IBDCaco2_S12_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S12_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	DSS	not applicable
NP1Ga	Mus musculus	Distal Colon	not applicable	17	Christine_IBDmouse_191115_L_AA29	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA29.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
NP2Ga	Mus musculus	Distal Colon	not applicable	51	Christine_IBDmouse_191115_L_AA38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
NP3Gb	Mus musculus	Proximal Colon	not applicable	65	Christine_IBDmouse_191115_T_AA48	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA48.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Proximal Colon
Caco2_S4	Homo sapiens	cell culture	Caco-2	52	200529_CW_IBDCaco2_S4_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S4_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	Untreated	not applicable
NP2Gs	Mus musculus	Ileum	not applicable	59	Christine_IBDmouse_191115_T_AA37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
NP2Ra	Mus musculus	Distal Colon	not applicable	61	Christine_IBDmouse_191115_T_AA35	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA35.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
