source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[disease]	characteristics[treatment]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[cellosaurus name]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	factor value[treatment]
PXD022008-MCF-7Controltreatment6	Homo sapiens	cell culture	34	Breast cancer	control	MCF-7	CVCL_0031	MCF-7	MCF-7Controltreatment6	proteomic profiling by mass spectrometry	1	MCF-7Controltreatment6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD022008-MCF-7Controltreatment4	Homo sapiens	cell culture	35	Breast cancer	control	MCF-7	CVCL_0031	MCF-7	MCF-7Controltreatment4	proteomic profiling by mass spectrometry	1	MCF-7Controltreatment4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD022008-T47DControltreatment3	Homo sapiens	cell culture	36	Breast cancer	control	T47D	CVCL_0553	T47D	T47DControltreatment3	proteomic profiling by mass spectrometry	1	T47DControltreatment3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD022008-T47DControltreatment1	Homo sapiens	cell culture	37	Breast cancer	control	T47D	CVCL_0553	T47D	T47DControltreatment1	proteomic profiling by mass spectrometry	1	T47DControltreatment1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	control
PXD022008-T47DEstradiolandlysinetreatment1	Homo sapiens	cell culture	38	Breast cancer	estradiol and lysine	T47D	CVCL_0553	T47D	T47DEstradiolandlysinetreatment1	proteomic profiling by mass spectrometry	1	T47DEstradiolandlysinetreatment1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol and lysine
PXD022008-MCF-7lysinetreatment5	Homo sapiens	cell culture	39	Breast cancer	lysine	MCF-7	CVCL_0031	MCF-7	MCF-7lysinetreatment5	proteomic profiling by mass spectrometry	1	MCF-7lysinetreatment5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	lysine
PXD022008-T47DEstradiolandlysinetreatment2	Homo sapiens	cell culture	40	Breast cancer	estradiol and lysine	T47D	CVCL_0553	T47D	T47DEstradiolandlysinetreatment2	proteomic profiling by mass spectrometry	1	T47DEstradiolandlysinetreatment2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol and lysine
PXD022008-MCF-7Estradioltreatment2	Homo sapiens	cell culture	41	Breast cancer	estradiol	MCF-7	CVCL_0031	MCF-7	MCF-7Estradioltreatment2	proteomic profiling by mass spectrometry	1	MCF-7Estradioltreatment2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol
PXD022008-T47Dlysinetreatment2	Homo sapiens	cell culture	42	Breast cancer	lysine	T47D	CVCL_0553	T47D	T47Dlysinetreatment2	proteomic profiling by mass spectrometry	1	T47Dlysinetreatment2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	lysine
PXD022008-MCF-7Estradioltreatment1	Homo sapiens	cell culture	43	Breast cancer	estradiol	MCF-7	CVCL_0031	MCF-7	MCF-7Estradioltreatment1	proteomic profiling by mass spectrometry	1	MCF-7Estradioltreatment1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol
PXD022008-MCF-7Estradiolandlysinetreatment2	Homo sapiens	cell culture	44	Breast cancer	estradiol and lysine	MCF-7	CVCL_0031	MCF-7	MCF-7Estradiolandlysinetreatment2	proteomic profiling by mass spectrometry	1	MCF-7Estradiolandlysinetreatment2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol and lysine
PXD022008-MCF-7lysinetreatment3	Homo sapiens	cell culture	45	Breast cancer	lysine	MCF-7	CVCL_0031	MCF-7	MCF-7lysinetreatment3	proteomic profiling by mass spectrometry	1	MCF-7lysinetreatment3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	lysine
PXD022008-MCF-7Estradioltreatment6	Homo sapiens	cell culture	46	Breast cancer	estradiol	MCF-7	CVCL_0031	MCF-7	MCF-7Estradioltreatment6	proteomic profiling by mass spectrometry	1	MCF-7Estradioltreatment6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol
PXD022008-T47DEstradioltreatment6	Homo sapiens	cell culture	47	Breast cancer	estradiol	T47D	CVCL_0553	T47D	T47DEstradioltreatment6	proteomic profiling by mass spectrometry	1	T47DEstradioltreatment6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol
PXD022008-T47DEstradiolandlysinetreatment6	Homo sapiens	cell culture	48	Breast cancer	estradiol and lysine	T47D	CVCL_0553	T47D	T47DEstradiolandlysinetreatment6	proteomic profiling by mass spectrometry	1	T47DEstradiolandlysinetreatment6.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=cell-lines;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Orbitrap Velos Pro;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	label free sample	1	estradiol and lysine
