source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[submitted TMT set]
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr02	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	2	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr02.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr72	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	72	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr72.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	4	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr03	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	3	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr03.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr37	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	37	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr37.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr10	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	10	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr10.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	40	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr01	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	1	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr01.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	16	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr51	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	51	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr27	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	27	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr27.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr64	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	64	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr64.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	18	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	15	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr31	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	31	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr31.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr65	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	65	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr65.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	28	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	38	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr18	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	18	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr18.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr11	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	11	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr11.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr30	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	30	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr30.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr08	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	8	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr08.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr39	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	39	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr39.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr51	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	51	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr51.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr16	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	16	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr16.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr28	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	28	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr28.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr07	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	7	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr07.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr17	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	17	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr17.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	40	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	15	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 01 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr04	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	4	1	Yan_20190826_HFTo_A431siRNA_TMT10_set01_400ug_IPG3-10_fr04.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 01
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr38	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	38	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr38.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
A431 TMT set 02 submitted multiplex	Homo sapiens	cell culture	A431	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr42	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive HF;AC=MS:1002523	NT=TMT 10-plex;AC=MS:1002010	NT=Lys-C;AC=MS:1001309	NT=Trypsin;AC=MS:1001251	42	1	Yan_20190830_HFTo_A431siRNA_TMT10_set02_400ug_IPG3-10_fr42.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	set 02
